(Intercept),Hab,Spec,Treatment,Hab:Spec,Hab:Treatment,Spec:Treatment,Hab:Spec:Treatment,df,logLik,AICc,delta,weight
0.0720832820904807,+,+,+,NA,NA,NA,NA,9,-312.48449837421595,645.5404253198604,0,0.5505432442652
0.10331216274958503,+,+,+,NA,+,NA,NA,12,-309.83696269973217,648.3306418173747,2.7902164975142796,0.136428034913145
0.0636992263312526,+,NA,+,NA,NA,NA,NA,6,-317.63722172575234,648.4251283830115,2.8847030631510506,0.13013260591016
0.0728323849204392,+,+,+,+,NA,NA,NA,18,-301.03624056262817,649.2855958793547,3.745170559494227,0.0846326586231257
0.09484487519118111,+,NA,+,NA,+,NA,NA,9,-315.3017171521691,651.1748628757667,5.634437555906288,0.0329070437186424
0.10471862477452432,+,+,+,+,+,NA,NA,21,-296.7299407184465,651.3909159196517,5.850490599791215,0.0295374871568727
0.07949621470443032,+,+,+,NA,NA,+,NA,12,-311.4980757308086,651.6528678795275,6.112442559667102,0.0259114311315648
0.11165743425459433,+,+,+,NA,+,+,NA,15,-308.6252416366709,654.7504832733418,9.210057953481396,0.00550620991551569
0.08348669728562179,+,+,+,+,NA,+,NA,21,-299.44198979757596,656.8150140779105,11.274588758050072,0.00196130708009131
0.07768378786092064,NA,+,+,NA,NA,NA,NA,6,-321.96150211614747,657.0736891638018,11.533263843941313,0.00172335605697412
0.11873070374467748,+,+,+,+,+,+,NA,24,-295.03790307177275,659.8939879617274,14.353562641866915,0.000420682951500336
0.06946632600322622,NA,NA,+,NA,NA,NA,NA,3,-327.4989767403336,661.3137429543514,15.773317634490923,0.000206851670616348
0.08415562117497699,NA,+,+,NA,NA,+,NA,9,-321.2150214936234,663.0014715586753,17.4610462388149,8.8955626537976e-05
0.045668682994489625,+,+,NA,NA,NA,NA,NA,8,-329.35040309913745,676.7289752123594,31.18854989249894,9.29573810015814e-08
0.03365958174864358,+,NA,NA,NA,NA,NA,NA,5,-333.9698037496568,678.7504183101245,33.20999299026403,3.38324218965714e-08
0.04838759199725727,+,+,NA,+,NA,NA,NA,17,-320.08458172064985,684.0401311832352,38.49970586337474,2.40262798942659e-09
0.04874520851276006,NA,+,NA,NA,NA,NA,NA,5,-337.6044773575363,686.0197655258835,40.47934020602304,8.92923795220529e-10
0.308279221537119,+,+,+,+,+,+,+,33,-285.832611555,686.4478318056522,40.90740648579174,7.20876693853497e-10
0.036959342079165014,NA,NA,NA,NA,NA,NA,NA,2,-342.5684266759404,689.2926975077249,43.75227218786449,1.73822602036367e-10
