(Intercept),Hab,Spec,Treatment,Hab:Spec,Hab:Treatment,Spec:Treatment,Hab:Spec:Treatment,df,logLik,AICc,delta,weight
0.8435456895785324,+,+,+,NA,NA,NA,NA,10,-82.91222487773678,189.012855552575,0,0.4060125755509
0.7660150445698682,+,NA,+,NA,+,NA,NA,10,-82.94887913285737,189.08616406281618,0.07330851024119056,0.39139993084071
0.9098518580178051,NA,NA,+,NA,NA,NA,NA,4,-91.9614770851349,192.45628750360314,3.4434319510281455,0.0725784581331245
0.9253724981450898,+,NA,+,NA,NA,NA,NA,7,-88.62539639205545,192.80634833966644,3.793492787091452,0.0609246430005504
0.6840919234308879,+,+,+,NA,+,NA,NA,13,-81.28302691950489,194.08120535416128,5.068349801586294,0.0322078184663924
0.8466068823570251,NA,+,+,NA,NA,NA,NA,7,-89.91979488836489,195.39514533228532,6.382289779710334,0.0166971699924105
0.5570800964747368,+,+,+,+,+,NA,NA,22,-67.63989739429132,197.03418075349492,8.021325200919932,0.00735750979872417
0.7167992845017714,+,+,+,+,NA,NA,NA,19,-73.26182528956798,197.19031724580262,8.177461693227627,0.00680497040286077
0.7990956291574985,+,+,+,NA,NA,+,NA,13,-83.1699367396663,197.8550249944841,8.842169441909107,0.0048807525177356
0.6279986778850832,+,+,+,NA,+,+,NA,16,-80.22895830555757,201.09283724603577,12.07998169346078,0.000966951719073067
0.6721967733488498,+,+,+,+,NA,+,NA,22,-71.95015930346665,205.65470457184557,16.64184901927058,9.88115897199746e-05
0.4825544598546843,+,+,+,+,+,+,NA,25,-66.65265062144192,207.37937531695792,18.36651976438293,4.17157823230195e-05
0.8025958154192292,NA,+,+,NA,NA,+,NA,10,-92.60567519695275,208.39975619100693,19.38690063843194,2.50453728312086e-05
1.0948886764952899,+,NA,NA,NA,NA,NA,NA,6,-100.16390936230263,213.4785036561121,24.46564810353712,1.97647580155092e-06
1.0791879785099467,NA,NA,NA,NA,NA,NA,NA,3,-104.06426786788145,214.44432520944713,25.43146965687214,1.21945566619748e-06
1.0132755265054914,+,+,NA,NA,NA,NA,NA,9,-98.46114327356456,217.4937151185577,28.480859565982712,2.6546019595208e-07
1.0164242881194192,NA,+,NA,NA,NA,NA,NA,6,-102.53367243427502,218.21802980005688,29.205174247481892,1.84806173975651e-07
0.8866772337033794,+,+,NA,+,NA,NA,NA,17,-91.176940580816,229.56699591573033,40.55414036315534,6.34336638298562e-10
0.25516382954518624,+,+,+,+,+,+,+,34,-61.546805865399485,243.98250061968787,54.96964506711288,4.69929515180824e-13
