Plot,Treatment,PlotFL,Spec,Hab,TreeID,Frame,LeafAreaF1,WeightFrame,WeightTot,TotLeafArea,LA_cm,LA_W_ratio,leaf_area_total
BAI,CON,Baiteta,SYZ,Primary-High elev.,1,BAI1CONFRAME1_PT.tif,1407.5033119402983,80.6,342.6,5982.762216758638,0.14075033119402983,0.0017462820247398242,0.5982762216758638
BAI,CON,Baiteta,SYZ,Primary-High elev.,2,BAI2CONFRAME1_PT.tif,1488.8941716417908,99,237.1,3565.826344406753,0.14888941716417908,0.0015039335067088795,0.35658263444067534
BAI,CON,Baiteta,HAH,Primary-High elev.,3,BAI3CONFRAME1_PT.tif,1385.362958208955,94.6,482,7058.614649648164,0.1385362958208955,0.0014644428733709884,0.7058614649648164
BAI,CON,Baiteta,BER,Primary-High elev.,4,BAI4CONFRAME1_PT.tif,1387.1672930348261,95.69999999999999,178.6,2588.7991487567397,0.1387167293034826,0.001449495604007133,0.25887991487567397
BAI,CON,Baiteta,BER,Primary-High elev.,5,BAI5CONFRAME1_PT.tif,1390.7315995024876,92.4,336.1,5058.710937151364,0.13907315995024877,0.0015051207786823458,0.5058710937151365
BAI,CON,Baiteta,HAH,Primary-High elev.,6,BAI6CONFRAME1_PT.tif,1519.9125213930347,100.1,128,1943.5444829001842,0.15199125213930348,0.001518394127265769,0.19435444829001844
BAI,CON,Baiteta,BER,Primary-High elev.,7,BAI7CONFRAME1_PT.tif,1362.3460477611939,92.4,283.5,4179.925373812754,0.13623460477611937,0.0014744004845900363,0.4179925373812753
BAI,CON,Baiteta,SYZ,Primary-High elev.,8,BAI8CONFRAME1_PT.tif,1427.122726368159,94.6,91.8,1384.8823074058878,0.1427122726368159,0.001508586391509682,0.1384882307405888
BAI,CON,Baiteta,LIT,Primary-High elev.,9,BAI9CONFRAME1_PT.tif,1441.033,95.69999999999999,295.70000000000005,4452.596218390806,0.1441033,0.0015057816091954023,0.4452596218390805
BAI,CON,Baiteta,LIT,Primary-High elev.,10,BAI10CONFRAME1_PT.tif,1331.1113049751245,90.19999999999999,230.7,3404.5163864496817,0.13311113049751244,0.0014757331540744174,0.3404516386449681
