CHEW,NR,PRE,SUC,Total_abundance,size_CHEW,size_NR,size_PRE,size_SUC,Mean_size,Plot,Treatment,PlotFL,Spec,Hab,TreeID,Frame,LeafAreaF1,WeightFrame,WeightTot,TotLeafArea,LA_cm,LA_W_ratio,leaf_area_total,herbivory_percentage_median,herbivory_percentage_mean
7,5,6,0,18,8,12,5.833333333,NA,8.611111111,BAI,CON,Baiteta,SYZ,Fragment,1,BAI1CONFRAME1_PT.tif,1407.503312,80.6,342.6,5982.762217,0.140750331,0.001746282,0.598276222,1.720421757,4.595094653
4,5,5,0,14,7.25,5,4.4,NA,5.55,BAI,CON,Baiteta,SYZ,Fragment,2,BAI2CONFRAME1_PT.tif,1488.894172,99,237.1,3565.826344,0.148889417,0.001503934,0.356582634,1.215566411,4.708735757
2,3,3,0,8,10,11.33333333,7,NA,9.444444444,BAI,CON,Baiteta,HAH,Fragment,3,BAI3CONFRAME1_PT.tif,1385.362958,94.6,482,7058.61465,0.138536296,0.001464443,0.705861465,0.075253297,2.372866236
11,3,11,2,27,5.727272727,5,4.272727273,5.5,5.125,BAI,CON,Baiteta,BER,Fragment,4,BAI4CONFRAME1_PT.tif,1387.167293,95.7,178.6,2588.799149,0.138716729,0.001449496,0.258879915,1.681876027,5.187561714
6,3,24,7,40,8.166666667,8.333333333,5.125,5.142857143,6.691964286,BAI,CON,Baiteta,BER,Fragment,5,BAI5CONFRAME1_PT.tif,1390.7316,92.4,336.1,5058.710937,0.13907316,0.001505121,0.505871094,0.048303967,3.279679797
4,1,8,3,16,3.875,4,3,5,3.96875,BAI,CON,Baiteta,HAH,Fragment,6,BAI6CONFRAME1_PT.tif,1519.912521,100.1,128,1943.544483,0.151991252,0.001518394,0.194354448,1.1786018,5.803831979
6,4,13,4,27,7.666666667,11,5.461538462,6.75,7.719551282,BAI,CON,Baiteta,BER,Fragment,7,BAI7CONFRAME1_PT.tif,1362.346048,92.4,283.5,4179.925374,0.136234605,0.0014744,0.417992537,0.048998453,3.236826674
4,3,13,6,26,5.5,6,4.692307692,5,5.298076923,BAI,CON,Baiteta,SYZ,Fragment,8,BAI8CONFRAME1_PT.tif,1427.122726,94.6,91.8,1384.882307,0.142712273,0.001508586,0.138488231,7.749224121,11.14856163
7,3,14,3,27,5.428571429,7.666666667,9.357142857,7,7.363095238,BAI,CON,Baiteta,LIT,Fragment,9,BAI9CONFRAME1_PT.tif,1441.033,95.7,295.7,4452.596218,0.1441033,0.001505782,0.445259622,2.360598023,6.481104925
9,8,4,2,23,7.111111111,10.75,4.5,7,7.340277778,BAI,CON,Baiteta,LIT,Fragment,10,BAI10CONFRAME1_PT.tif,1331.111305,90.2,230.7,3404.516386,0.13311113,0.001475733,0.340451639,2.300085796,7.319008385
5,14,10,4,33,9.4,9.071428571,8.2,3,7.417857143,BAI,EXP,Baiteta,SYZ,Fragment,1,BAI1EXPFRAME1_PT.tif,1360.626028,92.4,252.9,3724.05111,0.136062603,0.001472539,0.372405111,2.235711789,7.222680816
12,17,10,2,41,9.666666667,12.35294118,7.1,9,9.529901961,BAI,EXP,Baiteta,SYZ,Fragment,2,BAI2EXPFRAME1_PT.tif,1289.64792,85.8,214.4,3222.616715,0.128964792,0.001503086,0.322261671,3.07348203,8.98328359
6,5,7,1,19,9,7,3.857142857,4,5.964285714,BAI,EXP,Baiteta,HAH,Fragment,3,BAI3EXPFRAME1_PT.tif,1259.880228,86.9,310.6,4503.093198,0.125988023,0.001449805,0.45030932,0.922683712,4.709849362
3,17,14,2,36,9,14.82352941,3.642857143,6.5,8.491596639,BAI,EXP,Baiteta,BER,Fragment,4,BAI4EXPFRAME1_PT.tif,1103.856734,75.9,193,2806.908427,0.110385673,0.001454357,0.280690843,4.424740796,8.187952484
2,7,8,4,21,15.5,5.857142857,4.25,5,7.651785714,BAI,EXP,Baiteta,BER,Fragment,5,BAI5EXPFRAME10_PT.tif,1172.03211,79.2,400.3,5923.793609,0.117203211,0.001479839,0.592379361,0.039673062,2.649293496
