cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
0.11748911646469357,+,NA,NA,NA,NA,NA,NA,NA,2,-216.80870856531791,437.77741713063585,0,0.503184299450569
0.1264848835586494,+,NA,NA,+,NA,NA,NA,NA,3,-216.05070979270397,438.42574390973226,0.6483267790964078,0.363868709338121
0.07981773746247371,+,+,+,NA,+,NA,NA,NA,17,-199.6309069725382,443.4618139450764,5.684396814440561,0.0293343180833336
0.11048936182856121,+,+,NA,NA,NA,NA,NA,NA,5,-216.37912488102384,443.591583095381,5.814165964745143,0.0274914080447166
0.11483796547790685,+,NA,+,NA,NA,NA,NA,NA,5,-216.4894512505192,443.81223583437173,6.03481870373588,0.024619705321669
0.11968490936628544,+,+,NA,+,NA,NA,NA,NA,6,-215.62027057472415,444.4236397409976,6.646222610361747,0.0181350258528007
0.12377286662668323,+,NA,+,+,NA,NA,NA,NA,6,-215.75532020631323,444.69373900417577,6.916321873539914,0.0158440742603681
0.08755021030396591,+,+,+,+,+,NA,NA,NA,18,-198.9638759081641,445.52097215531126,7.743555024675402,0.0104769645121676
0.10065873023660281,+,+,NA,+,NA,+,NA,NA,9,-213.42613070720935,447.4993202379481,9.721903107312244,0.00389621258735106
0.10715603199883762,+,+,+,NA,NA,NA,NA,NA,8,-215.96528512820706,450.01752677815324,12.240109647517386,0.00110616787769328
0.06749391120079573,+,+,+,+,+,+,NA,NA,21,-196.071210214361,450.642420428722,12.865003298086151,0.000809332742453365
0.11635929731886055,+,+,+,+,NA,NA,NA,NA,9,-215.23448025694327,451.11601933741593,13.338602206780081,0.000638684555471738
0.12078847704124228,+,NA,+,+,NA,NA,+,NA,9,-215.6586793652922,451.96441755411377,14.187000423477912,0.000417887212990099
0.0965304033601182,+,+,+,+,NA,+,NA,NA,12,-213.04936329876463,454.8987265975293,17.121309466893422,9.63567114125021e-05
0.08370942134745611,+,+,+,+,+,NA,+,NA,21,-198.6064213031229,455.7128426062458,17.935425475609918,6.41355648981152e-05
0.1129654089550358,+,+,+,+,NA,NA,+,NA,12,-215.1329247924279,459.0658495848558,21.288432454219958,1.19950678807381e-05
0.06768886242008655,+,+,+,+,+,+,+,NA,24,-195.47515364607884,461.59181672611993,23.814399595484076,3.39231298342457e-06
0.09191655364598504,+,+,+,+,NA,+,+,NA,15,-212.86089552997416,463.4637265438193,25.686309413183437,1.33050301284673e-06
0.06784152199801631,+,+,+,+,+,+,+,+,33,-189.5693747663517,496.1387495327034,58.361332402067546,1.06837759603929e-13
