cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
0.1856196832772798,+,+,NA,+,NA,NA,NA,NA,6,-187.9982116353152,389.19642327063036,0,0.712397263201827
0.1730541095633869,+,+,NA,+,NA,+,NA,NA,9,-185.73999815219963,392.1665634685784,2.9701401979480124,0.161348336857421
0.1701853605137128,+,+,+,+,NA,NA,NA,NA,9,-186.44798411514344,393.582535394466,4.38611212383563,0.0794859000310826
0.15637571165953496,+,+,NA,NA,NA,NA,NA,NA,5,-192.57567080218075,395.99641202689673,6.799988756266373,0.0237751598442384
0.1548952989723398,+,+,+,+,NA,+,NA,NA,12,-184.0927067500135,397.060413500027,7.86399022939662,0.013966206567418
0.1712533303080898,+,+,+,+,NA,NA,+,NA,12,-185.18525040856372,399.24550081712744,10.049077546497074,0.00468374000195805
0.139682859473006,+,+,+,NA,NA,NA,NA,NA,8,-190.97426563570409,400.0661783302317,10.869755059601346,0.00310731242311857
0.1513041621768886,+,+,+,+,NA,+,+,NA,15,-182.7124084964579,403.2936694519322,14.097246181301841,0.000618791200343537
0.17356506727716753,+,NA,NA,+,NA,NA,NA,NA,3,-198.74490200347003,403.8185711302277,14.622147859597362,0.000475952023855478
0.1594851708456772,+,NA,+,+,NA,NA,NA,NA,6,-197.0961962605961,407.39239252119216,18.195969250561802,7.97109019245583e-05
0.14513163614383337,+,NA,NA,NA,NA,NA,NA,NA,2,-202.2489266147109,408.660015391584,19.46359212095365,4.22918725060411e-05
0.130907546708898,+,NA,+,NA,NA,NA,NA,NA,5,-200.5063353195326,411.85774106160045,22.661317790970088,8.54829709764638e-06
0.16115271055341626,+,NA,+,+,NA,NA,+,NA,9,-195.8449114583744,412.37639008092793,23.17996681029757,6.59563181419986e-06
0.15957222369005922,+,+,+,+,+,NA,NA,NA,18,-182.86332996962017,413.5197633875162,24.323340116885845,3.72371166509432e-06
0.13826750079114136,+,+,+,+,+,+,NA,NA,21,-180.12999803198286,419.05999606396574,29.86357279333538,2.33308093788171e-07
0.12355167800274065,+,+,+,NA,+,NA,NA,NA,17,-187.61663114985004,419.6061436556323,30.409720385001947,1.77556004100873e-07
0.16138964049446722,+,+,+,+,+,NA,+,NA,21,-181.58943328170923,421.9788665634185,32.782443292788116,5.42132108474953e-08
0.12941087069386298,+,+,+,+,+,+,+,NA,24,-178.5867571627861,428.2504374024953,39.05401413186496,2.35640982883613e-09
0.1311479070788282,+,+,+,+,+,+,+,+,33,-167.27731542545072,452.74067736252937,63.544254091899006,1.13308577665812e-14
