cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
0.18121907297314846,+,+,NA,NA,NA,NA,NA,NA,5,-160.9208148477794,332.65244050636966,0,0.474992433326263
0.16738417079072493,+,+,NA,+,NA,+,NA,NA,9,-157.17340904839352,334.9182466682156,2.265806161845944,0.152993554513964
0.17991596682740604,+,+,NA,+,NA,NA,NA,NA,6,-160.9109472799404,334.97257949138765,2.3201389850179908,0.148893216548869
0.1567267453145409,+,+,+,NA,NA,NA,NA,NA,8,-158.51876454099514,335.06569809607475,2.413257589705097,0.142119759542108
0.15543839743458054,+,+,+,+,NA,NA,NA,NA,9,-158.50843144233002,337.5882914560886,4.93585094971894,0.0402606030589438
0.14327493482775452,+,+,+,+,NA,+,NA,NA,12,-154.5639745272397,337.78466547238986,5.132224966020203,0.0364954060512716
0.20845499326032516,+,NA,NA,NA,NA,NA,NA,NA,2,-170.08189996449943,344.319644084843,11.667203578473334,0.00139054684692848
0.1471430469210975,+,+,+,+,NA,NA,+,NA,12,-157.9632726558404,344.58326172959124,11.930821223221585,0.00121882619756864
0.13682873959466188,+,+,+,+,NA,+,+,NA,15,-154.1620666998882,345.8241333997764,13.171692893406714,0.000655375075665929
0.2071037900967235,+,NA,NA,+,NA,NA,NA,NA,3,-170.07366074441697,346.46311096251816,13.8106704561485,0.000476143331249856
0.18487784061855653,+,NA,+,NA,NA,NA,NA,NA,5,-168.26031689468167,347.33144460017417,14.679004093804508,0.000308447640518451
0.1835402269915039,+,NA,+,+,NA,NA,NA,NA,6,-168.25179816179335,349.65428125509357,17.001840748723907,9.65570261811829e-05
0.14972343709843977,+,+,+,NA,+,NA,NA,NA,17,-153.1368932646978,350.14475427133107,17.49231376496141,7.55577504563641e-05
0.14845784738322051,+,+,+,+,+,NA,NA,NA,18,-153.12533899604654,353.4637927461914,20.81135223982176,1.43733821338572e-05
0.13637380912716324,+,+,+,+,+,+,NA,NA,21,-148.75570912056648,355.44245272389156,22.790012217521905,5.34439337592438e-06
0.17484554899349675,+,NA,+,+,NA,NA,+,NA,9,-167.80218065865304,356.17578988873464,23.523349382364984,3.70387460351389e-06
0.14006576361374204,+,+,+,+,+,NA,+,NA,21,-152.51222985073406,362.9554941842267,30.303053677857065,1.24871173406031e-07
0.1291945924858788,+,+,+,+,+,+,+,NA,24,-148.11620419029825,366.0505901987783,33.39814969240865,2.65687200491526e-08
0.11154950373757092,+,+,+,+,+,+,+,+,33,-141.05426067457154,396.89113004479526,64.2386895384256,5.33866285955434e-15
