cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
0.16011387300316063,+,+,NA,NA,NA,NA,NA,NA,5,-143.2285497982987,297.50973117554474,0,0.292673726720498
0.1819328504036967,+,NA,NA,NA,NA,NA,NA,NA,2,-147.03281289263583,298.26562578527165,0.7558946097269086,0.200559532525935
0.17630819747769527,+,+,NA,+,NA,NA,NA,NA,6,-142.553089361856,298.606178723712,1.096447548167248,0.169158247710899
0.19758626661093498,+,NA,NA,+,NA,NA,NA,NA,3,-146.45165889064523,299.31009744230744,1.800366266762694,0.118970468028547
0.19767762691505286,+,+,+,NA,NA,NA,NA,NA,8,-140.82076484613316,300.308196358933,2.7984651833882594,0.0722278594313791
0.2180973363162528,+,NA,+,NA,NA,NA,NA,NA,5,-144.87559030197013,300.8038121828876,3.294081007342868,0.0563745561259992
0.2094016802669979,+,+,+,+,NA,NA,NA,NA,9,-140.3714645996811,302.13915561445657,4.629424438911826,0.0289145870042422
0.22955536066826993,+,NA,+,+,NA,NA,NA,NA,6,-144.47285545566947,302.44571091133895,4.935979735794206,0.0248055783158867
0.20713929040319648,+,NA,+,+,NA,NA,+,NA,9,-140.92179444675497,303.2398153086043,5.730084133059563,0.0166767638002784
0.18927393314503457,+,+,NA,+,NA,+,NA,NA,9,-141.27617483897512,303.9485760930446,6.438844917499864,0.0117005514025571
0.19428090405025636,+,+,+,+,NA,NA,+,NA,12,-137.4509512857872,305.1419025715744,7.632171396029662,0.00644286121731268
0.22285147401513974,+,+,+,+,NA,+,NA,NA,12,-139.02574181246433,308.2914836249287,10.78175244938393,0.00133400034107905
0.20841875997212958,+,+,+,+,NA,+,+,NA,15,-136.1792265189698,312.57121899538646,15.061487819841716,0.000156972369109732
0.23529483210334456,+,+,+,NA,+,NA,NA,NA,17,-136.28969411353924,320.17938822707845,22.669657051533704,3.49727880244734e-06
0.24566698185067032,+,+,+,+,+,NA,NA,NA,18,-135.81931027770932,323.1840751008732,25.674343925328458,7.7852182313442e-07
0.22928359380038843,+,+,+,+,+,NA,+,NA,21,-133.23901714138572,331.01461964862506,33.504888473080314,1.55199260401727e-08
0.24947325151907646,+,+,+,+,+,+,NA,NA,21,-134.68375640472638,333.90409817530644,36.3943669997617,3.65971577008228e-09
0.2314504918064541,+,+,+,+,+,+,+,NA,24,-132.10924340336553,343.7974341751521,46.28770299960735,2.60097837420283e-11
0.2500007355549008,+,+,+,+,+,+,+,+,33,-124.01813875606912,391.41558785696583,93.90585668142108,1.18846405225868e-21
