cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
-3.1525810504860137,+,+,+,+,NA,NA,NA,NA,9,177.6363479375002,-334.7374846073948,0,0.715660116423486
-3.030108359872234,+,+,+,NA,NA,NA,NA,NA,8,174.7438689599045,-331.487737919809,3.249746687585798,0.140939682156934
-3.1132213160618685,+,+,+,+,NA,NA,+,NA,12,179.0308069952619,-329.4733786964062,5.264105910988576,0.0514778903053772
-2.964010512267829,+,NA,+,+,NA,NA,NA,NA,6,170.83558441457058,-328.536033694006,6.201450913388783,0.032216537247513
-3.205604329811035,+,+,+,+,NA,+,NA,NA,12,177.825077594883,-327.0619198956484,7.675564711746404,0.0154162631462465
-2.805436612156571,+,+,NA,+,NA,NA,NA,NA,6,169.81147414674336,-326.48781315835157,8.249671449043205,0.0115694688427053
-3.098373686675048,+,+,+,+,+,NA,NA,NA,18,186.74710167189258,-326.461945279269,8.275539328125774,0.0114207935831894
-2.8374885800580048,+,NA,+,NA,NA,NA,NA,NA,5,168.31330830366934,-325.8266166073387,8.910868000056098,0.00831259102664124
-2.692878029080226,+,+,NA,NA,NA,NA,NA,NA,5,167.4385576827758,-324.0771153655516,10.66036924184317,0.00346606774123505
-2.9224187292437507,+,NA,+,+,NA,NA,+,NA,9,172.24031251855754,-323.94541376950946,10.79207083788532,0.00324517714102805
-2.667332700232669,+,NA,NA,+,NA,NA,NA,NA,3,164.85182552415142,-323.3919627366145,11.34552187078026,0.00246069645369339
-2.981850693080598,+,+,+,NA,+,NA,NA,NA,17,182.95327435804126,-322.1922630017968,12.545221605597987,0.00135066160978841
-3.1728014885711975,+,+,+,+,NA,+,+,NA,15,179.33836616739018,-321.292116950165,13.445367657229781,0.000861156976728798
-2.551018735787323,+,NA,NA,NA,NA,NA,NA,NA,2,162.71861040439012,-321.2833746549341,13.45410995246067,0.000857400947523014
-2.8706775397920845,+,+,NA,+,NA,+,NA,NA,9,170.04392773878348,-319.55264420996133,15.184840397433447,0.000360878175282998
-3.050597152102096,+,+,+,+,+,NA,+,NA,21,188.4294266305222,-319.1978363118918,15.539648295502957,0.000302214336078088
-3.1587197044434716,+,+,+,+,+,+,NA,NA,21,187.1140751057855,-316.56713326241845,18.170351344976325,8.11082727756822e-05
-3.1127223770526284,+,+,+,+,+,+,+,NA,24,188.86105192024908,-308.2935324119267,26.443952195468057,1.29561377159706e-06
-3.2236326881418575,+,+,+,+,+,+,+,+,33,190.94717593456616,-268.1496710180685,66.58781358932629,2.4851168430739e-15
