contrast,odds.ratio,SE,df,t.ratio,p.value
Fragment LIT / Secondary LIT,0.04269397123534991,0.02723142437836035,63,-4.944430042941551,6.117502528000252e-4
Primary HAH / Fragment LIT,18.165497356183206,10.953308136791112,63,4.808711278798229,9.887676342886786e-4
Fragment LIT / (Primary-High elev. SYZ),0.059079190604884826,0.035679864780530236,63,-4.684091047804192,0.0015259524894087884
Secondary LIT / Primary SYZ,11.454004097350476,6.156016328489557,63,4.536821811998799,0.002524544815902807
Secondary HAH / Fragment LIT,15.548759829853052,9.410385073449856,63,4.533873946159818,0.0025498358408670985
Fragment LIT / Primary LIT,0.037836674721273326,0.02784778751141848,63,-4.449017681711666,0.0033907309992896595
Primary HAH / Primary SYZ,8.88323559394429,4.405272771565308,63,4.404371967582534,0.0039332586589789775
Secondary BER / Fragment LIT,16.925334903565403,10.894305952368153,63,4.394826437025022,0.004059504197653108
Fragment HAH / Fragment LIT,13.660045602493598,8.297617415003087,63,4.304109067745074,0.005467117331432236
Fragment LIT / (Primary-High elev. LIT),0.06409475302645325,0.04138091514448277,63,-4.2554269457627765,0.0064015454435424335
Primary SYZ / (Primary-High elev. SYZ),0.12081216009514398,0.06006408533971041,63,-4.251104700409748,0.006491414498474457
Secondary HAH / Primary SYZ,7.603606664544594,3.7930290721169806,63,4.066630852736312,0.011641941464131889
Fragment LIT / Fragment SYZ,0.08596198472595895,0.052486442821964324,63,-4.018901168899473,0.013492369838832619
Fragment BER / Fragment LIT,13.073408614683544,8.503629968655394,63,3.9519883435760867,0.01654790787980176
Primary LIT / Primary SYZ,12.924415928837318,8.41169023204689,63,3.9320407081883597,0.017575363520608955
Primary BER / Fragment LIT,10.770068067414803,6.593619043329187,63,3.8822357266188496,0.020401932424900182
Secondary BER / Primary SYZ,8.276775169252545,4.5087660207930504,63,3.8796820924358424,0.020557511079416058
Fragment LIT / Secondary SYZ,0.08733467161695192,0.05490951836607989,63,-3.877699381114468,0.020679054550761578
(Primary-High elev. BER) / Fragment LIT,10.671311830052918,6.53530378145876,63,3.86591981738417,0.0214148171852514
Fragment HAH / Primary SYZ,6.679993447560056,3.3515028377344507,63,3.7851942172624256,0.02713472380446802
(Primary-High elev. HAH) / Fragment LIT,11.517504045571751,7.536530552464006,63,3.734776768276351,0.031376494475334415
(Primary-High elev. LIT) / Primary SYZ,7.629593662058947,4.174583499997906,63,3.713807190132121,0.033310120067195914
Fragment SYZ / Primary SYZ,5.688757920385557,2.8771756917466322,63,3.437349960826133,0.07070586956245206
Fragment BER / Primary SYZ,6.393118033765522,3.5359201659410857,63,3.3543330552823614,0.08740754010155916
Primary BER / Primary SYZ,5.266745530261886,2.674806375375122,63,3.271353619856589,0.10728963812323933
