cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
-1.4198056390064135,+,+,+,+,+,NA,NA,NA,18,108.79725066120113,-170.3813865683039,0,0.877605190604022
-1.4369083709492358,+,+,+,+,+,NA,+,NA,21,111.91445755948139,-165.89788063620415,4.483505932099746,0.0932649024393927
-1.5623212344200614,+,+,+,+,+,+,NA,NA,21,109.8139168045531,-161.69679912634757,8.684587441956324,0.0114147126027733
-1.2272274362094733,+,+,+,NA,+,NA,NA,NA,17,102.64929373097114,-161.4276197200068,8.953766848297107,0.00997730884688427
-1.3859045289563248,+,+,NA,+,NA,+,NA,NA,9,90.54749880503037,-160.52356903863216,9.857817529671735,0.00634894119877761
-1.5168776804930608,+,+,+,+,+,+,+,NA,24,113.15016598254476,-156.4821501469077,13.899236421396182,0.000841624448657002
-1.3430612481811373,+,+,+,+,NA,+,NA,NA,12,91.3184332297867,-153.98015004166297,16.40123652664093,0.000240888420101771
-1.3001409574249347,+,+,+,+,NA,+,+,NA,15,95.53595581215419,-153.57191162430837,16.809474943995525,0.000196412026834194
-1.1942000649936706,+,+,+,+,NA,NA,+,NA,12,90.20629182840757,-151.7558672389047,18.625519329399197,7.92171200549228e-05
-1.962643758050857,+,+,+,+,+,+,+,+,33,132.30820038466751,-149.83379207368284,20.547594494621052,3.03002164228878e-05
-1.2269521653546018,+,+,+,+,NA,NA,NA,NA,9,80.36555512477088,-140.1596816781132,30.221704890190694,2.40292020637993e-07
-1.3745424256907566,+,+,NA,+,NA,NA,NA,NA,6,76.63881505026849,-140.12694516903014,30.25444139927376,2.36390874257498e-07
-1.2137460505914053,+,NA,+,+,NA,NA,+,NA,9,78.10619408310971,-135.64095959479084,34.74042697351305,2.50906155735694e-08
-0.8168833558698608,+,+,+,NA,NA,NA,NA,NA,8,72.0974572690983,-126.16674552411209,44.21464104419181,2.19893236151011e-10
-0.947835475195152,+,+,NA,NA,NA,NA,NA,NA,5,67.50990293904516,-124.20899506727952,46.17239150102438,8.26212498809615e-11
-1.3623467713404511,+,NA,+,+,NA,NA,NA,NA,6,61.34275874690739,-109.53483256230794,60.846554005995955,5.37821128198657e-14
-0.8674640230949635,+,NA,+,NA,NA,NA,NA,NA,5,53.05826536451322,-95.30571991821563,75.07566665008827,4.37346149798569e-17
-1.797910249857571,+,NA,NA,+,NA,NA,NA,NA,3,50.61135987310203,-94.90693027251986,75.47445629578404,3.58285503184902e-17
-1.1449155561263384,+,NA,NA,NA,NA,NA,NA,NA,2,37.65464370407871,-71.15344325231327,99.22794331599063,2.49014746690433e-22
