contrast,odds.ratio,SE,df,t.ratio,p.value
Fragment HAH / Primary SYZ,66.86246959125732,32.21219172278547,62,8.72336616100592,2.8205915381107616e-10
Fragment SYZ / Primary SYZ,56.89702230037384,27.273266715231248,62,8.43077200563874,8.582623500785758e-10
Primary SYZ / (Primary-High elev. SYZ),0.02574785277973951,0.012479707008989089,62,-7.550000691613658,2.8004829344396853e-8
Secondary HAH / Primary SYZ,37.03123023430241,18.01829498899086,62,7.422898563527361,4.644335582781878e-8
Secondary BER / Primary SYZ,41.29892659675114,21.10675935546387,62,7.2804427854369544,8.184268929234406e-8
Primary SYZ / Secondary SYZ,0.029445730030880586,0.014299501940774876,62,-7.259153185889751,8.906949866549496e-8
Fragment BER / Primary SYZ,38.86863083952877,19.958867125455694,62,7.12798359896718,1.4995861863376092e-7
Fragment LIT / Primary SYZ,37.75181674903022,19.260648936230353,62,7.11700397756191,1.5663672014998298e-7
Secondary LIT / Primary SYZ,37.517842879622606,19.195422436922364,62,7.084777698242588,1.7799848994748402e-7
(Primary-High elev. LIT) / Primary SYZ,36.728666553938936,18.72862600548581,62,7.066928658458545,1.9105483306525173e-7
(Primary-High elev. BER) / Primary SYZ,27.885197822316186,13.555520210341438,62,6.846259974103025,4.576154573054936e-7
Primary BER / Primary SYZ,28.344978954261308,13.878504958844575,62,6.830588918631279,4.868359180232318e-7
(Primary-High elev. HAH) / Primary SYZ,27.32359162942238,14.167636674669843,62,6.379301340851414,2.8648721317470205e-6
Primary HAH / Primary SYZ,23.03698854919697,11.462990413906518,62,6.3045819646220584,3.8330632969874046e-6
Primary LIT / Primary SYZ,34.861863685184055,20.64790847877732,62,5.996161608313741,1.2633952681029292e-5
Fragment HAH / Primary HAH,2.902396268004744,0.9524115390736747,62,3.2471359285596053,0.11417625034024625
(Primary-High elev. BER) / Fragment HAH,0.41705306418957566,0.13156706103905982,62,-2.7722010357602676,0.31183236444743734
Primary HAH / Fragment SYZ,0.404889177285568,0.13222373063363022,62,-2.7686199933786106,0.31386201078115017
Primary BER / Fragment HAH,0.4239295845268567,0.13457122987577277,62,-2.7034845800172715,0.35208385839962364
Fragment HAH / (Primary-High elev. HAH),2.447060053381086,0.882135777434442,62,2.4824330712416547,0.49699134366625397
(Primary-High elev. BER) / Fragment SYZ,0.490099423395185,0.15363097372350273,62,-2.2750160776534023,0.6424567266729576
Primary BER / Fragment SYZ,0.49818035827289814,0.1572481733191376,62,-2.207520952563242,0.6885296811959296
Fragment HAH / Secondary SYZ,1.9688142287821255,0.6117713669128342,62,2.180122745868346,0.7067481350551219
(Primary-High elev. HAH) / Fragment SYZ,0.48022885073271854,0.1723617957816526,62,-2.0436330832229532,0.7914362207975307
Fragment HAH / Secondary HAH,1.8055697628247285,0.5597758355961159,62,1.9058846998046113,0.8631787072144186
Fragment HAH / (Primary-High elev. SYZ),1.7215650235255033,0.5297798943875541,62,1.7652845563145145,0.9191180139724473
Fragment HAH / (Primary-High elev. LIT),1.8204436987404515,0.6314549190958567,62,1.7271096555318548,0.9311907810617134
Fragment SYZ / Secondary SYZ,1.6753743582177998,0.5174744597663022,62,1.6707192683006518,0.9466825721346215
Fragment HAH / Secondary LIT,1.7821512235068537,0.6203399890455522,62,1.6600005703097558,0.9493224497840167
Fragment HAH / Fragment LIT,1.7711060115530703,0.6139576633918487,62,1.6489274828400444,0.95195067285756
Secondary BER / Primary HAH,1.7927224519192093,0.6635824138306251,62,1.5770091445267302,0.9666899633609418
Primary HAH / (Primary-High elev. SYZ),0.5931529896532686,0.19850202308430126,62,-1.5607172865958652,0.9695002688093994
Fragment BER / Fragment HAH,0.5813220941006206,0.20306264146251649,62,-1.5529116546228725,0.9707819489194389
Fragment HAH / Primary LIT,1.917925851441878,0.8750661835961285,62,1.4273643907723796,0.9862981738618934
Primary HAH / Secondary HAH,0.6220962253600091,0.20938761496422306,62,-1.4102290737348473,0.9877716964462591
