cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
-0.4543734236509104,+,+,+,+,NA,+,+,NA,15,36.374892293053925,-35.24978458610785,0,0.404498021693
-0.44026166802328276,+,+,+,+,NA,NA,+,NA,12,31.698285524209062,-34.73985463050768,0.5099299556001711,0.313463168380036
-0.20230756140328457,+,+,NA,+,NA,+,NA,NA,9,26.44634714859486,-32.32126572576115,2.928518860346699,0.0935398375463136
-0.2500194456849291,+,+,+,+,+,NA,+,NA,21,44.84254125427818,-31.754048025797736,3.495736560310114,0.0704412173515648
-0.11749027286114586,+,+,+,+,+,NA,NA,NA,18,39.13701047328222,-31.06090619246607,4.1888783936417795,0.0498095956357881
-0.2560751798271744,+,+,+,+,NA,+,NA,NA,12,29.573755627573924,-30.490794837237402,4.758989748870448,0.0374554404323731
-0.2680858461619285,+,+,+,+,+,+,+,NA,24,49.093977762768084,-28.369773707354355,6.880010878753495,0.0129700312322501
-0.22897641129821059,+,+,+,+,NA,NA,NA,NA,9,23.790750284080573,-27.010071996732577,8.239712589375273,0.00657181829247784
-0.10440714132819194,+,NA,+,+,NA,NA,+,NA,9,23.159006033334727,-25.746583495240884,9.503201090866966,0.00349399681555112
-0.3963242118140691,+,+,+,NA,+,NA,NA,NA,17,34.80298543128193,-25.735003120628384,9.514781465479466,0.00347382437699931
-0.07587663397828084,+,+,+,+,+,+,NA,NA,21,41.71114036758198,-25.49124625240534,9.75853833370251,0.00307522379935671
-0.0691071950054848,+,+,NA,+,NA,NA,NA,NA,6,18.350982907649453,-23.551280883792057,11.698503702315794,0.00116578536691518
-0.6278403026344775,+,+,+,NA,NA,NA,NA,NA,8,17.179985788564426,-16.331802563044345,18.917982023063505,3.15448743050213e-05
0.1791079309988848,+,NA,+,+,NA,NA,NA,NA,6,12.941712231225882,-12.732739530944915,22.517045055162935,5.21677605517145e-06
-0.4529865540555449,+,+,NA,NA,NA,NA,NA,NA,5,11.593909181091366,-12.377007551371921,22.87277703473593,4.36672634113396e-06
-0.10029000439897423,+,+,+,+,+,+,+,+,33,61.72461663439487,-8.666624573137568,26.583160012970282,6.83056375540329e-07
0.3264631590937421,+,NA,NA,+,NA,NA,NA,NA,3,6.258739157398386,-6.201688841112562,29.048095744995287,1.99160201038705e-07
-0.21481514538732346,+,NA,+,NA,NA,NA,NA,NA,5,6.49164925795138,-2.1724877050919496,33.0772968810159,2.65627262208047e-08
-0.0763984371411703,+,NA,NA,NA,NA,NA,NA,NA,2,0.5376953272700487,3.080453501304058,38.33023808741191,1.92136978238905e-09
