contrast,odds.ratio,SE,df,t.ratio,p.value
LIT Fragment / (BER Primary-High elev.),0.03641039442343607,0.022733423716267027,59,-5.306021346343667,1.8710394566701094e-4
LIT Fragment / HAH Secondary,0.04116239889669513,0.02580626527393312,59,-5.088590775892564,4.074259443106465e-4
BER Primary / (BER Primary-High elev.),0.0747843409626588,0.04117176696847574,59,-4.710188215008834,0.0015175091686240316
LIT Fragment / HAH Primary,0.054819442126683715,0.0346046846287218,59,-4.599948937363193,0.002201580007271109
LIT Fragment / BER Secondary,0.04324571600968238,0.029610284249076205,59,-4.5872107518760545,0.002297489497521288
BER Primary / HAH Secondary,0.0845446176202372,0.04684478908054899,59,-4.458669607204401,0.003517574274917612
LIT Fragment / (LIT Primary-High elev.),0.056928563890473176,0.04008779024762645,59,-4.069939391637938,0.012086256020172104
BER Primary / BER Secondary,0.08882360167899538,0.05477915617048454,59,-3.9257829590219675,0.018656483757897413
BER Primary / HAH Primary,0.11259520574558421,0.0629707860445309,59,-3.905032898368939,0.019836168329131376
SYZ Primary / (BER Primary-High elev.),0.1357761432280875,0.07096549792693724,59,-3.8203171555690894,0.02539622955126908
(BER Primary-High elev.) / (HAH Primary-High elev.),10.905359239513716,7.193689811361811,59,3.6220184070536807,0.04431895902160843
SYZ Primary / HAH Secondary,0.15349660053701564,0.08087487589878573,59,-3.55690718203762,0.0528348229229848
SYZ Fragment / (BER Primary-High elev.),0.15740757103624753,0.08262165881386756,59,-3.5224844619246714,0.05789268710924089
(HAH Primary-High elev.) / HAH Secondary,0.10366575546727305,0.0674758749783386,59,-3.4822384334133623,0.06433644168191899
(BER Primary-High elev.) / (SYZ Primary-High elev.),5.811608025447748,3.0258436715508803,59,3.380082358902792,0.0835321796324282
BER Primary / (LIT Primary-High elev.),0.11692719070791878,0.07489244043242109,59,-3.3507999498287497,0.08985732460039086
HAH Fragment / (BER Primary-High elev.),0.15235685040834968,0.08745205101007116,59,-3.277955776138073,0.1073476564955681
SYZ Fragment / HAH Secondary,0.1779511958316886,0.09411824712329665,59,-3.2638467030391993,0.11104013369185839
BER Fragment / (BER Primary-High elev.),0.11156675413420605,0.07517433719430563,59,-3.254842640895834,0.11345038389213291
(SYZ Primary-High elev.) / HAH Secondary,0.19452659216793908,0.10209192951550783,59,-3.119505072967928,0.15503223360750373
BER Fragment / HAH Secondary,0.12612758828906737,0.08435497120737746,59,-3.095754571614819,0.16342228449185014
(HAH Primary-High elev.) / BER Secondary,0.1089125012397373,0.07809753861224313,59,-3.0920556687072196,0.16475964950605415
SYZ Primary / BER Secondary,0.16126539203740145,0.09575963724796938,59,-3.072918757289992,0.1718122587978923
LIT Fragment / LIT Primary,0.07593956836088515,0.06418025810566325,59,-3.050133281878426,0.18050407522550826
LIT Fragment / SYZ Secondary,0.1486780595445472,0.09454053787771736,59,-2.997404315824688,0.20186648748283098
HAH Fragment / HAH Secondary,0.17224129401674204,0.10131201308949896,59,-2.9902488949151014,0.2049012935037411
HAH Primary / (HAH Primary-High elev.),7.243204524452494,4.816110375576806,59,2.9779231358864107,0.21020571309415503
HAH Primary / SYZ Primary,4.891784354861107,2.612085702616466,59,2.9730981456502463,0.2123086544763937
(BER Primary-High elev.) / LIT Secondary,7.016358756914268,4.6007660297502735,59,2.971153386863127,0.21316048610007876
SYZ Fragment / BER Secondary,0.18695768674304483,0.11137039406600649,59,-2.8149697460925296,0.28948450567110307
HAH Secondary / LIT Secondary,6.2063532885127675,4.08744357684339,59,2.771941392793365,0.31320411321722585
(BER Primary-High elev.) / SYZ Secondary,4.083396016409217,2.1370285555135147,59,2.688334816924743,0.36238373504313925
SYZ Fragment / HAH Primary,0.2369926326634147,0.1269415272394185,59,-2.6878872154233973,0.3626573919870445
(SYZ Primary-High elev.) / BER Secondary,0.20437199936618425,0.12099048517442915,59,-2.6820671285293116,0.3662252501376737
BER Fragment / BER Secondary,0.13251117549840088,0.09995486000553686,59,-2.6793773266569834,0.36788011836381196
HAH Fragment / BER Secondary,0.18095879457565528,0.11568277043691676,59,-2.674093226593533,0.37114195277718165
BER Fragment / HAH Primary,0.16797475881187907,0.11301575932618677,59,-2.651463427719499,0.3852703644008364
(HAH Primary-High elev.) / (LIT Primary-High elev.),0.14337217318611256,0.10552963815994806,59,-2.6388170578276067,0.39327481930282904
