cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
3.912555366981285,+,+,NA,+,NA,NA,NA,NA,6,-429.69480632952326,872.5402975905533,0,0.70062349011998
4.114670410074202,+,+,NA,NA,NA,NA,NA,NA,5,-432.99094746356803,876.7927057379469,4.252408147393567,0.0835768497670445
4.051794013509568,+,NA,NA,+,NA,NA,NA,NA,3,-435.3484828070325,877.0127550877492,4.472457497195819,0.0748691475302632
3.9294769993943346,+,+,+,+,NA,NA,NA,NA,9,-428.6041903061225,877.7798091836736,5.239511593120255,0.0510198535474533
3.7001418958237857,+,+,NA,+,NA,+,NA,NA,9,-428.62741215230704,877.8262528760426,5.285955285489308,0.0498487288224788
4.283478960575488,+,NA,NA,NA,NA,NA,NA,NA,2,-438.13018189472126,880.4162079452867,7.875910354733378,0.0136537670977074
3.962879147623623,+,+,+,+,NA,NA,+,NA,12,-426.1188973661843,880.894511150279,8.354213559725622,0.0107495496310927
4.16273365074461,+,NA,+,+,NA,NA,NA,NA,6,-434.42728206467365,882.0052490608541,9.464951470300775,0.00616874185371915
4.151458248476548,+,+,+,NA,NA,NA,NA,NA,8,-432.37122815416865,882.7706253224218,10.230327731868442,0.00420723967218802
3.688207626418393,+,+,+,+,NA,+,NA,NA,12,-427.49701935983546,883.6507551375814,11.11045754702809,0.00270943971223303
4.077501070321902,+,NA,+,+,NA,NA,+,NA,9,-432.58702003826653,885.7454686479616,13.205171057408279,0.000950644702897129
4.403174023707479,+,NA,+,NA,NA,NA,NA,NA,5,-437.652243756496,886.1152983238028,13.575000733249453,0.000790152173136013
3.803306917992809,+,+,+,+,NA,+,+,NA,15,-424.41145954198475,886.3229190839695,13.782621493416173,0.000712240169360314
3.9341118462078613,+,+,+,+,+,NA,NA,NA,18,-421.6754082510792,890.5639312562568,18.023633665703414,8.54480923795771e-05
3.910404170684074,+,+,+,+,+,NA,+,NA,21,-417.4949014777312,892.920837438221,20.380539847667706,2.62970297074411e-05
3.6636627373464363,+,+,+,+,+,+,NA,NA,21,-419.20383566753907,896.3387058178367,23.798408227283403,4.76130506563425e-06
4.110523335270624,+,+,+,NA,+,NA,NA,NA,17,-426.60875493651986,897.0884776149752,24.548180024421868,3.27276733079509e-06
3.7425620280193796,+,+,+,+,+,+,+,NA,24,-415.7989341107587,901.4160500396993,28.87575244914592,3.76005951667712e-07
3.1183076830875645,+,+,+,+,+,+,+,+,33,-410.60139709292946,935.985402881511,63.44510529095771,1.17099523593303e-14
