cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
2.5934652327659378,+,NA,NA,+,NA,NA,NA,NA,4,-266.2483871524944,541.0301076383221,0,0.608947266132716
2.628714783433416,+,+,NA,+,NA,NA,NA,NA,7,-263.70250927040314,542.9605740963618,1.9304664580397457,0.231944575408884
2.88839328921803,+,NA,NA,NA,NA,NA,NA,NA,3,-269.35089018330905,545.0175698403023,3.987462201980179,0.0829303063101839
2.595284468801693,+,NA,+,+,NA,NA,NA,NA,7,-265.9732110930396,547.5019777416347,6.4718701033126536,0.0239458880789235
2.895714013454155,+,+,NA,NA,NA,NA,NA,NA,6,-267.27042899510764,547.6915429217221,6.66143528340001,0.021780477288682
2.8165398026807007,+,+,NA,+,NA,+,NA,NA,10,-262.65407503281045,548.4965558627224,7.466448224400324,0.0145633421667289
2.647078419833898,+,+,+,+,NA,NA,NA,NA,10,-263.39787516963696,549.9841561363754,8.95404849805334,0.00692201854271848
2.892125590764106,+,NA,+,NA,NA,NA,NA,NA,6,-268.87562449771417,550.9019339269352,9.871826288613079,0.00437461505600259
2.5429455788219384,+,NA,+,+,NA,NA,+,NA,10,-264.34913473101705,551.8866752591356,10.856567620813507,0.0026736587764799
2.9499594117045613,+,+,+,NA,NA,NA,NA,NA,9,-266.9553184077336,554.4820653868958,13.451957748573705,0.000730338465267516
2.5019700768633055,+,+,+,+,NA,NA,+,NA,13,-261.75924582384937,555.0336431628502,14.00353552452816,0.000554307279857005
2.8220757215970087,+,+,+,+,NA,+,NA,NA,13,-262.3472273029133,556.2096061209782,15.179498482656072,0.000307888501926048
2.9054941593510217,+,+,+,+,+,NA,NA,NA,19,-253.00670181387787,556.6800702944224,15.649962656100342,0.000243351189424242
3.1665536943293207,+,+,+,NA,+,NA,NA,NA,18,-256.29662706094336,559.8063688759851,18.776261237662993,5.09760713393618e-05
2.630523347220412,+,+,+,+,NA,+,+,NA,16,-260.44094445822356,561.5168095513677,20.486701913045636,2.16744900547694e-05
3.0474740957795157,+,+,+,+,+,+,NA,NA,22,-251.29951623644817,564.3534184378086,23.323310799486535,5.24791866000319e-06
2.7839328466687188,+,+,+,+,+,NA,+,NA,22,-251.56878095898966,564.8919478828916,23.86184024456952,4.00910021054763e-06
2.905225899009876,+,+,+,+,+,+,+,NA,25,-249.62396701819583,573.3220081104657,32.29190047214365,5.92219348831186e-08
2.9666671994179206,+,+,+,+,+,+,+,+,34,-242.2886454297337,605.4661797483562,64.43607211003416,6.20103822673629e-15
