cond((Int)),disp((Int)),cond(guild),cond(Hab),cond(Spec),cond(Treatment),cond(guild:Hab),cond(guild:Spec),cond(guild:Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(guild:Hab:Spec),cond(guild:Hab:Treatment),cond(guild:Spec:Treatment),cond(Hab:Spec:Treatment),cond(guild:Hab:Spec:Treatment),df,logLik,AICc,delta,weight
2.513765957369342,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,14,-704.6502193674876,1438.6774879153031,0,0.500372022783247
2.258156749155846,+,+,+,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,17,-702.3715759579218,1440.7696419820686,2.092154066765488,0.175787316257315
2.22034359299564,+,+,+,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,20,-699.154231419778,1441.117827388051,2.440339472747837,0.147699843646747
2.3221930526374663,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,17,-703.1554146389692,1442.3373193441635,3.6598314288603433,0.0802732269790938
1.9097565050157683,+,+,+,+,+,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,23,-696.6078511149528,1442.9454319596355,4.267944044332353,0.0592271377716478
2.036182591292092,+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,20,-700.7401369075374,1444.2896383635698,5.612150448266675,0.0302433596050402
2.4288350141482686,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,-703.2145948215267,1449.2385541915485,10.561066276245356,0.00254675176416819
2.1698371987452942,+,+,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,23,-700.89270973682585,1451.5151492033815,12.83766128807838,0.000815887519952142
2.165318187701582,+,+,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,26,-697.6847437276233,1452.1612963289667,13.48380841366361,0.000590637781987612
2.2280332007912835,+,+,+,+,+,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,29,-694.4762202172927,1452.9524404345855,14.274952519282351,0.000397673328925657
2.4449337814816774,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,23,-701.786370777023,1453.3024712837757,14.624983368472613,0.000333824518791547
2.257898346817562,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,-701.8060476009174,1453.3418249315646,14.66433701626147,0.000327320115385633
1.8729612039987744,+,+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,41,-679.700049949899,1453.788589108431,15.111101193127979,0.000261793637359851
1.8460862168906904,+,+,+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,29,-695.0905866430322,1454.1811732860644,15.503685370761332,0.000215134725245281
2.266653768809459,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,26,-699.0525399504279,1454.896888774576,16.21940085927281,0.00015041628997729
1.9692819830277335,+,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,26,-699.3562112666674,1455.504231407055,16.826743491751813,0.000111022779439168
2.1828298754230304,+,+,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,26,-699.4196883025912,1455.6311854789026,16.953697563599462,0.000104194397857101
1.9218050960664375,+,+,+,+,+,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,32,-692.3325978481813,1456.0240807137843,17.346592798481197,8.56107403851194e-05
2.1788498323816285,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,29,-696.1243594137121,1456.2487188274242,17.57123091212111,7.65153741747662e-05
2.777459417318046,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,11,-716.7449885559181,1456.347119968979,17.66963205367597,7.28418840024661e-05
2.2105208474693874,+,+,+,+,+,NA,+,NA,NA,NA,+,NA,NA,NA,NA,NA,26,-699.9395221059524,1456.670853085625,17.993365170321795,6.19560065338638e-05
2.265049385245823,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,26,-700.3525609143945,1457.4969307025092,18.81944278720607,4.09923618375213e-05
2.324911999365369,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,-703.9414932152422,1457.6127161602142,18.93522824491106,3.86865898255937e-05
2.5247232435034794,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,17,-711.0329534728792,1458.0923970119834,19.414909096680276,3.04368059453507e-05
1.9741868831252727,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,NA,29,-697.0944292555064,1458.1888585110128,19.51137059570965,2.90036547657597e-05
1.855172292625097,+,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,32,-693.4604724127623,1458.2798298429464,19.602341927643238,2.7713957924859e-05
1.9284799259832823,+,+,+,+,+,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,29,-697.5369587806998,1459.0739175613996,20.39642964609652,1.86322196851675e-05
1.971599487593109,+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,29,-697.8299326647816,1459.6598653295632,20.9823774142601,1.39004114327373e-05
2.6224328407341044,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,14,-715.3236198590465,1460.024288898421,21.346800983117873,1.15849478312738e-05
2.067590501494778,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,26,-701.6556188114879,1460.103046496696,21.425558581392806,1.11376120751416e-05
2.243301406292334,+,+,+,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,29,-698.5367330568203,1461.0734661136405,22.39597819833739,6.85595794434156e-06
2.35885573622503,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,26,-702.5963919491636,1461.9845927720473,23.307104856744218,4.34729893576451e-06
