cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
2.409052742758423,+,NA,NA,+,NA,NA,NA,NA,4,-240.47155412565806,489.4764415846495,0,0.722910231372415
2.254576271608946,+,+,NA,+,NA,NA,NA,NA,7,-238.25894906955074,492.073453694657,2.5970121100075403,0.197310572624904
2.3451039551483364,+,NA,+,+,NA,NA,NA,NA,7,-240.3602948268542,496.2761452092639,6.799703624614438,0.0241294537318266
2.266833238567789,+,+,NA,+,NA,+,NA,NA,10,-236.60792112948292,496.4042480560673,6.927806471417796,0.0226323843722816
2.2252410540003456,+,NA,+,+,NA,NA,+,NA,10,-236.88997365062073,496.9683530983429,7.491911513693424,0.0170701153848232
2.1295273840096556,+,+,+,+,NA,NA,NA,NA,10,-237.99716822683072,499.1827422507629,9.706300666113407,0.00564141386897962
1.9804225662247499,+,+,+,+,NA,NA,+,NA,13,-234.1629487912348,499.8410490976211,10.364607512971645,0.00405918127410433
2.882018992652769,+,NA,NA,NA,NA,NA,NA,NA,3,-246.86779251117034,500.0513744960249,10.574932911375413,0.00365398589374547
2.694182941660398,+,+,NA,NA,NA,NA,NA,NA,6,-244.17341992854844,501.49752478860376,12.021083203954277,0.00177312486627334
2.165586837072745,+,+,+,+,NA,+,NA,NA,13,-236.37818370075354,504.2715189166586,14.7950773320091,0.000442969830987192
2.851187671402055,+,NA,+,NA,NA,NA,NA,NA,6,-246.47224447135795,506.0951738742228,16.618732289573302,0.000177980534458057
2.0098026341105197,+,+,+,+,NA,+,+,NA,16,-233.31105336196543,507.2570273588515,17.780585774201995,9.95587024948686e-05
2.593966402323722,+,+,+,NA,NA,NA,NA,NA,9,-243.81755125240207,508.2065310762327,18.730089491583215,6.19294346671464e-05
1.9604094117714992,+,+,+,+,+,NA,NA,NA,19,-229.45177514443552,509.5702169555377,20.09377537088824,3.13167358604839e-05
1.9429809753203688,+,+,+,+,+,NA,+,NA,22,-225.68968766956522,513.1337613040428,23.657319719393286,5.27184540205178e-06
2.012473855128048,+,+,+,+,+,+,NA,NA,22,-228.18760449518584,518.1295949552839,28.653153370634413,4.33641833864601e-07
2.4646427639022215,+,+,+,NA,+,NA,NA,NA,18,-237.5363302269718,522.285775208042,32.80933362339249,5.4278532529686e-08
1.979512304906938,+,+,+,+,+,+,+,NA,25,-225.0269896084365,524.128053290947,34.65161170629756,2.16064041237037e-08
1.9603248830432138,+,+,+,+,+,+,+,+,34,-216.73508379069355,554.359056470276,64.88261488562648,5.88848486631137e-15
