cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
3.2822090579935153,+,+,NA,NA,NA,NA,NA,NA,5,-353.24330089509436,717.2974126009996,0,0.47332579826119
3.192156965029002,+,+,NA,+,NA,NA,NA,NA,6,-352.4047078076977,717.9601005469023,0.6626879459026895,0.339828123162873
2.950854961061563,+,+,NA,+,NA,+,NA,NA,9,-350.1091634848105,720.7897555410495,3.49234294004998,0.0825671971411873
3.2955656731812413,+,+,+,NA,NA,NA,NA,NA,8,-352.13149327559483,722.2911555652742,4.993742964274588,0.0389746899766554
3.2202974967468516,+,+,+,+,NA,NA,NA,NA,9,-351.37462429390945,723.3206771592475,6.023264558247888,0.0232929715187538
3.3051269249446946,+,NA,NA,NA,NA,NA,NA,NA,2,-359.7649032518253,723.6856506594947,6.388238058495176,0.0194076033275265
3.208987894655851,+,NA,NA,+,NA,NA,NA,NA,3,-359.23220261986313,724.7801947134104,7.4827821124108596,0.0112278004569591
2.9459536348227355,+,+,+,+,NA,+,NA,NA,12,-348.77451441311484,726.2057452441402,8.908332643140625,0.00550478448836268
3.2011789391559224,+,+,+,+,NA,NA,+,NA,12,-349.67133036312794,727.9993771441664,10.70196454316681,0.00224521586680515
3.250212887905158,+,NA,+,NA,NA,NA,NA,NA,5,-358.8105446577424,728.4319001262957,11.134487525296095,0.00180857669572728
3.1489547600729724,+,NA,+,+,NA,NA,NA,NA,6,-358.180830623046,729.5123461775988,12.214933576599265,0.00105370987817929
2.9203423318178356,+,+,+,+,NA,+,+,NA,15,-346.4502396482072,730.4004792964143,13.103066695414782,0.000675873463201608
3.1178358994929773,+,NA,+,+,NA,NA,+,NA,9,-357.01957212792666,734.6105728272819,17.31316022628232,8.23484066953694e-05
3.1147423353925254,+,+,+,NA,+,NA,NA,NA,17,-348.49454872901435,740.8600651999642,23.562652598964632,3.61905492797825e-06
3.0555774392719166,+,+,+,+,+,NA,NA,NA,18,-347.8293666090749,742.8718479722481,25.57443537124857,1.32355531459746e-06
2.7045291125088267,+,+,+,+,+,+,NA,NA,21,-343.9062447591866,745.7435240011318,28.44611140013228,3.14894858488651e-07
2.9994822508663552,+,+,+,+,+,NA,+,NA,21,-345.7936475999356,749.5183296826298,32.220917081630205,4.76954478193279e-08
2.727704019931138,+,+,+,+,+,+,+,NA,24,-342.9469643872535,755.7121105926888,38.414697991689195,2.15533357929682e-09
2.482201016716449,+,+,+,+,+,+,+,+,33,-335.09285581714937,784.9683203299509,67.6709077289513,9.56333281457763e-16
