cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
-1.115062573299639,+,+,+,NA,+,NA,NA,NA,17,77.60995225619936,-111.34893677046324,0,0.356684349769801
-2.6022023775819467,+,+,NA,+,NA,+,NA,NA,9,65.86319748671869,-111.15496640200881,0.19397036845442983,0.323715819991831
-1.245888379938379,+,+,+,+,+,NA,NA,NA,18,78.66896257932295,-110.12481040454753,1.2241263659157084,0.193405308975515
-1.4170043914586656,+,+,+,+,+,+,NA,NA,21,82.42062616645013,-106.91021785014163,4.438718920321605,0.0387639912904892
-1.8137627624217605,+,+,+,+,NA,+,+,NA,15,72.02202660520958,-106.54405321041915,4.80488356004409,0.0322787602435526
-2.417371333828012,+,+,+,+,NA,+,NA,NA,12,67.43969412172153,-106.22267182553261,5.126264944930625,0.0274871533300147
-1.1016564192280152,+,NA,+,+,NA,NA,+,NA,9,62.99900480177507,-105.42658103212158,5.922355738341665,0.0184612390418386
-1.338509386230568,+,+,+,+,NA,NA,+,NA,12,65.32516764696896,-101.99361887602748,9.355317894435757,0.00331743624460099
-1.1274920865738296,+,+,+,+,+,NA,+,NA,21,79.68896758999982,-101.446900697241,9.902036073222234,0.00252397030547269
-1.2912761066221425,+,+,+,+,+,+,+,NA,24,84.76657532569719,-99.71496883321257,11.633967937250674,0.00106169559468667
-2.0561815126901353,+,+,NA,+,NA,NA,NA,NA,6,56.39518785844434,-99.63969078538183,11.70924598508141,0.00102247711146808
-1.7777958286951197,+,+,+,+,NA,NA,NA,NA,9,59.457985884811464,-98.34454319819436,13.004393572268881,0.000535076490300327
-1.4694570929615722,+,NA,+,+,NA,NA,NA,NA,6,55.50458024909284,-97.85847556667883,13.490461203784406,0.000419631058649252
-1.7244933422839879,+,NA,NA,+,NA,NA,NA,NA,3,51.63420581621812,-96.95262215875204,14.396314611711205,0.000266786627101951
-1.443948160538541,+,+,+,NA,NA,NA,NA,NA,8,55.358843412445566,-92.68951781080662,18.65941895965662,3.16550285373254e-05
-1.767328743620695,+,+,NA,NA,NA,NA,NA,NA,5,51.13088340342777,-91.45095599604473,19.897980774418514,1.70408961013451e-05
-1.0216850762682037,+,NA,+,NA,NA,NA,NA,NA,5,50.19494832612497,-89.57908584143914,21.769850929024102,6.68376218810975e-06
-1.2560198033134584,+,NA,NA,NA,NA,NA,NA,NA,2,44.52322376968465,-84.89060338352515,26.458333386938094,6.41106173729576e-07
-1.4415659436853607,+,+,+,+,+,+,+,+,33,99.01932304148221,-83.25603738731225,28.092899383150993,2.83131678007747e-07
