cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
-4.475466326450411,+,+,+,+,+,NA,NA,NA,18,123.61457596301244,-200.0160371719265,0,0.941463207967143
-4.477997431148705,+,+,+,+,+,NA,+,NA,21,125.8019425807268,-193.67285067869497,6.343186493231542,0.0394818875069632
-4.490736526237451,+,+,+,+,+,+,NA,NA,21,124.41503284679919,-190.89903121083975,9.117005961086761,0.00986439972525856
-4.41341658609069,+,+,+,NA,+,NA,NA,NA,17,117.25012215747498,-190.62927657301447,9.386760598912048,0.00861974041347245
-5.807461872970511,+,+,+,+,+,+,+,+,33,149.40567850202467,-184.02874830839716,15.987288863529358,0.000317839365891696
-4.4650971291566535,+,+,+,+,+,+,+,NA,24,126.65191915734037,-183.48565649649893,16.53038067542758,0.000242257257853143
-3.611746419905368,+,+,+,+,NA,+,+,NA,15,106.38134611148682,-175.26269222297364,24.753344948952872,3.96901547887854e-06
-3.506336566676434,+,+,NA,+,NA,+,NA,NA,9,97.66957638366189,-174.7677241958952,25.248312976031315,3.09885925093229e-06
-3.2643812172790154,+,+,+,+,NA,NA,+,NA,12,101.6863396324105,-174.71596284691054,25.30007432501597,3.01968761020195e-06
-3.501311983640864,+,+,+,+,NA,+,NA,NA,12,99.8405785615537,-171.02444070519695,28.99159646672956,4.76824068556091e-07
-3.143019967299368,+,NA,+,+,NA,NA,+,NA,9,93.75274105751349,-166.9340535435984,33.08198362832812,6.1679647424371e-08
-2.926079852506792,+,+,+,+,NA,NA,NA,NA,9,93.03934042466909,-165.50725227790963,34.508784894016884,3.02214936103367e-08
-2.788056727329306,+,+,NA,+,NA,NA,NA,NA,6,88.3597910624182,-163.56889719332955,36.447139978596965,1.14658819399232e-08
-2.42902932233867,+,NA,+,+,NA,NA,NA,NA,6,81.17687921575292,-149.203073499999,50.81296367192752,8.70780082281958e-12
-2.5730719580320387,+,+,+,NA,NA,NA,NA,NA,8,81.22489291827866,-144.4216168224728,55.59442034945371,7.9731211181655e-13
-2.1592414727675187,+,NA,NA,+,NA,NA,NA,NA,3,74.81837923222045,-143.32096899075668,56.69506818116983,4.59860091623253e-13
-2.3506195670813255,+,+,NA,NA,NA,NA,NA,NA,5,74.01614139321833,-137.22147197562586,62.79456519630065,2.17839571212572e-14
-1.9609218525116703,+,NA,+,NA,NA,NA,NA,NA,5,68.06113307413275,-125.3114553374547,74.70458183447181,5.64819290351387e-17
-1.3381999058708136,+,NA,NA,NA,NA,NA,NA,NA,2,57.65407904539313,-111.15231393494211,88.8637232369844,4.75653866086558e-20
