cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
1.0307461205675956,+,+,+,+,NA,+,+,NA,15,36.22422249323279,-34.948444986465574,0,0.374748163833008
0.5196290677448948,+,+,+,+,NA,NA,+,NA,12,31.50290983116313,-34.349103244415815,0.5993417420497593,0.277711655847147
1.9518945021447331,+,+,NA,+,NA,+,NA,NA,9,26.649525244737767,-32.727621918046964,2.2208230684186105,0.12345080085465
0.2068998139987244,+,+,+,+,+,NA,+,NA,21,44.9152584137572,-31.899482344755775,3.0489626417097995,0.081595402331341
0.3286264039625301,+,+,+,+,+,NA,NA,NA,18,39.34864650688013,-31.484178259661896,3.464266726803679,0.066295423910837
1.5558598653686124,+,+,+,+,NA,+,NA,NA,12,29.585484097599608,-30.51425177728877,4.434193209176804,0.0408194071055952
0.6113818960144711,+,+,+,+,+,+,+,NA,24,49.183936567709466,-28.54969131723712,6.398753669228455,0.0152850832622362
0.8985351329927427,+,+,+,+,NA,NA,NA,NA,9,23.676616492634793,-26.781804413841016,8.166640572624559,0.00631503912245669
0.04703482842058462,+,+,+,NA,+,NA,NA,NA,17,34.973559020445194,-26.076150298954907,8.872294687510667,0.00443756984103994
0.7664169014470128,+,+,+,+,+,+,NA,NA,21,41.94733250918314,-25.963630535607656,8.984814450857918,0.00419480565816753
-0.1001504589912444,+,NA,+,+,NA,NA,+,NA,9,23.15845438140607,-25.74548019138357,9.202964795082003,0.00376132707164486
1.197653263471338,+,+,NA,+,NA,NA,NA,NA,6,18.420163339930575,-23.6896417483543,11.258803238111273,0.00134561696538698
0.5643020279688652,+,+,+,NA,NA,NA,NA,NA,8,16.99078365321767,-15.95339829235083,18.995046694114745,2.8120143475389e-05
0.18178489180239035,+,NA,+,+,NA,NA,NA,NA,6,12.973534776959607,-12.796384622412365,22.15206036405321,5.80070425939358e-06
0.8705312182580885,+,+,NA,NA,NA,NA,NA,NA,5,11.559802794434145,-12.308794778057479,22.639650208408096,4.54571218642517e-06
0.18225036395091765,+,+,+,+,+,+,+,+,33,61.99080314704613,-9.198997598440087,25.749447388025487,9.60103509658559e-07
0.3374872896642339,+,NA,NA,+,NA,NA,NA,NA,3,6.4052039954903,-6.49461851729639,28.453826469169186,2.4835310913428e-07
-0.21359428538902203,+,NA,+,NA,NA,NA,NA,NA,5,6.4347663910479715,-2.0587219712851326,32.889723015180444,2.7028808742376e-08
-0.06781085216023364,+,NA,NA,NA,NA,NA,NA,NA,2,0.5763781507152244,3.0030878544137067,37.95153284087928,2.15114094781282e-09
