cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
-4.258772724379862,+,+,+,+,+,NA,+,NA,21,487.44793220339534,-916.9648299240321,0,0.988568801077371
-3.1355340920771297,+,+,+,+,NA,NA,+,NA,12,467.9366866768971,-907.2166569358837,9.748172988148326,0.00755471406289695
-4.253581632263682,+,+,+,+,+,+,+,NA,24,487.50345415586327,-905.1887264935447,11.77610343048741,0.00274068126522798
-3.225337111193944,+,+,+,+,NA,+,+,NA,15,469.6735018126874,-901.8470036253748,15.117826298657292,0.000515480961843514
-3.825262105302722,+,+,NA,+,NA,NA,NA,NA,6,456.5905021433544,-900.030319355202,16.934510568830092,0.000207837855793944
-4.489227882271428,+,+,+,+,+,NA,NA,NA,18,473.3649606221431,-899.5168064901878,17.44802343384424,0.000160774345923975
-3.0389867929158676,+,NA,+,+,NA,NA,+,NA,9,459.942906974253,-899.3143853770774,17.650444546954645,0.000145298645318
-3.5581387968889033,+,+,+,+,NA,NA,NA,NA,9,459.1299678249571,-897.6885070784856,19.276322845546474,6.44475746959015e-05
-3.774964527019796,+,+,NA,+,NA,+,NA,NA,9,457.9294487911031,-895.2874690107776,21.67736091325446,1.94011639955127e-05
-4.5953946874998675,+,+,+,+,+,+,+,+,33,504.4669693328739,-894.1513299700956,22.813499953936457,1.09930531743726e-05
-3.51815910138424,+,+,+,+,NA,+,NA,NA,12,461.09976433665844,-893.5428122554065,23.422017668625585,8.10924433101406e-06
-4.275218597615707,+,+,+,+,+,+,NA,NA,21,473.7307994348527,-889.5305643869468,27.434265537085253,1.09076660036083e-06
-3.3284740581099768,+,NA,NA,+,NA,NA,NA,NA,3,447.9095503117585,-889.5033111498328,27.46151877419925,1.07600395089211e-06
-3.813425874278567,+,+,+,NA,+,NA,NA,NA,17,466.57653635711796,-889.2821049723004,27.682724951731643,9.63339914216469e-07
-3.097083837639835,+,NA,+,+,NA,NA,NA,NA,6,450.11095229731694,-887.0712196631271,29.893610260905007,3.18927456934495e-07
-2.708925923917449,+,+,+,NA,NA,NA,NA,NA,8,449.177503684894,-880.3268383557036,36.637991568328516,1.09437992298166e-08
-2.4708419582036454,+,NA,+,NA,NA,NA,NA,NA,5,442.3408188768872,-873.8708269429636,43.094002981068456,4.33773534540315e-10
-2.933937131597762,+,+,NA,NA,NA,NA,NA,NA,5,441.98663871368734,-873.1624666165638,43.80236330746823,3.04399938787579e-10
-2.6530205232431046,+,NA,NA,NA,NA,NA,NA,NA,2,436.3263045831765,-868.4967650105089,48.46806491352322,2.95325079745859e-11
