cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
1.9024104894349845,+,NA,NA,NA,NA,NA,NA,NA,3,175.2675894911031,-344.219389508522,0,0.543568132031289
1.6617303117413078,+,NA,NA,+,NA,NA,NA,NA,4,175.72032014252179,-342.9073069517102,1.312082556811788,0.282058297479099
2.3445632577778106,+,+,NA,NA,NA,NA,NA,NA,6,176.90327324389588,-340.6558615562849,3.5635279522371093,0.091504768027073
2.1289769477961977,+,+,NA,+,NA,NA,NA,NA,7,177.4390999096752,-339.32264426379487,4.8967452447271285,0.0469828402633289
2.0401002677822535,+,NA,+,NA,NA,NA,NA,NA,6,175.42559556092758,-337.7005061903483,6.518883318173721,0.0208783637930267
1.8082447222578066,+,NA,+,+,NA,NA,NA,NA,7,175.80510417702737,-336.0546527984992,8.164736710022794,0.00916861924270512
2.4997698156545365,+,+,+,NA,NA,NA,NA,NA,9,177.0166900400844,-333.46195150874024,10.757437999781757,0.00250787569146829
2.327331615699882,+,+,NA,+,NA,+,NA,NA,10,177.8873004333637,-332.58619506962594,11.633194438896055,0.0016185939449912
2.2790832212191128,+,+,+,+,NA,NA,NA,NA,10,177.5924756423833,-331.9965454876652,12.222844020856826,0.00120530548121943
1.7749028884705076,+,NA,+,+,NA,NA,+,NA,10,176.55133104327496,-329.9142562894485,14.305133219073525,0.000425533521384809
2.2832498605191516,+,+,+,+,NA,NA,+,NA,13,178.49176536942008,-325.46837922368866,18.75101028483334,4.60812062429944e-05
2.5040523110606676,+,+,+,+,NA,+,NA,NA,13,178.19072282700992,-324.86629413886834,19.35309536965366,3.41022256600651e-05
2.7913056198741857,+,+,+,+,NA,+,+,NA,16,179.605834507336,-318.5767483797514,25.642641128770606,1.46901156699996e-06
2.3066041394133485,+,+,+,NA,+,NA,NA,NA,18,178.20255833341426,-309.1920019127302,35.02738759579182,1.34633585877299e-08
2.068355038313679,+,+,+,+,+,NA,NA,NA,19,178.83884974363264,-307.0110328205986,37.20835668792341,4.52441040140554e-09
2.044620534881227,+,+,+,+,+,NA,+,NA,22,179.81316633168979,-297.8719466984673,46.3474428100547,4.68850794080357e-11
2.312026374485134,+,+,+,+,+,+,NA,NA,22,179.79171519395638,-297.8290444230005,46.39034508552152,4.58900515072761e-11
2.441328169594377,+,+,+,+,+,+,+,NA,25,181.19111764330768,-288.3081612125413,55.91122829598072,3.92902710234194e-13
2.3396458979186945,+,+,+,+,+,+,+,+,34,200.70681511191873,-280.52474133494854,63.694648173573455,8.01930761429734e-15
