(Intercept),Hab,Spec,Treatment,Hab:Spec,Hab:Treatment,Spec:Treatment,Hab:Spec:Treatment,df,logLik,AICc,delta,weight
0.43322608574077726,+,NA,+,NA,+,NA,NA,9,-79.4343690185494,179.44016660852736,0,0.96984441205655
0.40384138153432353,+,+,+,NA,+,NA,NA,12,-78.902479776645,186.46167597120044,7.021509362673072,0.0289734814058033
0.380577176556779,+,+,+,NA,+,+,NA,15,-77.75668854632579,193.01337709265158,13.573210484124218,0.0010947548058851
0.30190619225819737,+,+,+,+,+,NA,NA,21,-70.52083686789443,198.9727082185475,19.532541610020132,5.5624298694208e-05
0.6102541374276479,+,NA,+,NA,NA,NA,NA,6,-93.58532532459402,200.3213355806949,20.88116897216753,2.83409130537302e-05
0.6916518257483611,+,NA,NA,NA,NA,NA,NA,5,-97.39146423707044,205.59373928495168,26.153572676424318,2.03013968181077e-06
0.5797840247820993,+,+,+,NA,NA,NA,NA,9,-93.19166069532822,206.95474996208503,27.51458335355767,1.02798364861875e-06
0.30119637204085076,+,+,+,+,+,+,NA,24,-70.14758621960829,210.11335425739838,30.67318764887102,2.11886847127825e-07
0.6598196264901841,+,+,NA,NA,NA,NA,NA,8,-97.0173717893656,212.0629125928157,32.62274598428834,7.99397498862941e-08
0.560512286100392,+,+,+,NA,NA,+,NA,12,-92.54080198585687,213.7383203896242,34.29815378109683,3.45901626825854e-08
0.4288558017138462,+,+,+,+,NA,NA,NA,18,-86.28841438469318,219.78994352348474,40.349776914957374,1.67826036379492e-09
0.48560958689447686,NA,NA,+,NA,NA,NA,NA,3,-109.23115766409022,224.77810480186466,45.337938193337294,1.38577869039686e-10
0.504154696843797,+,+,NA,+,NA,NA,NA,17,-90.6300748839909,225.1311175099173,45.690950901389925,1.16155062592322e-10
0.40426537277607616,+,+,+,+,NA,+,NA,21,-85.35789976468665,228.64683401213193,49.20666740360457,2.00267282496953e-11
0.5714703235488494,NA,NA,NA,NA,NA,NA,NA,2,-112.25383481749093,228.66351379082602,49.22334718229865,1.98604020870552e-11
0.4737001615725352,NA,+,+,NA,NA,NA,NA,6,-108.97349876306201,231.09768245763087,51.657515849103504,5.88051046010149e-12
0.5590094624090712,NA,+,NA,NA,NA,NA,NA,5,-112.00507255587192,234.82095592255465,55.38078931402728,9.13937435323469e-13
0.4505014542082985,NA,+,+,NA,NA,+,NA,9,-108.42571952755846,237.4228676265455,57.98270101801813,2.48839040963267e-13
0.2994310779575691,+,+,+,+,+,+,+,33,-68.43856839809115,251.65974549183449,72.21957888330712,2.0156715714676e-16
