cond((Int)),disp((Int)),cond(Hab),cond(Spec),cond(Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(Hab:Spec:Treatment),df,logLik,AICc,delta,weight
0.15119789745234846,+,NA,NA,+,NA,NA,NA,NA,3,-172.0059101478568,350.32760976939784,0,0.771067146569023
0.13766655036322648,+,NA,NA,NA,NA,NA,NA,NA,2,-175.52642107176985,355.2086862993838,4.8810765299859895,0.0671707036585788
0.1573838049665049,+,NA,+,+,NA,NA,NA,NA,6,-171.0306421675073,355.21196926652146,4.884359497123626,0.0670605344973885
0.15131239376231306,+,+,NA,+,NA,NA,NA,NA,6,-171.1790714875454,355.5088279065977,5.181218137199835,0.0578102671006855
0.17185708812944353,+,+,NA,+,NA,+,NA,NA,9,-168.81896970063,358.20936797268854,7.881758203290701,0.0149827023401462
0.1439304651332466,+,NA,+,NA,NA,NA,NA,NA,5,-174.62464231934615,360.06009544950314,9.732485680105299,0.00593895160279337
0.15501879549604958,+,NA,+,+,NA,NA,+,NA,9,-169.7926885963145,360.15680576405754,9.829195994659699,0.00565860538063959
0.13756759677788674,+,+,NA,NA,NA,NA,NA,NA,5,-174.8714243774068,360.55365956562446,10.226049796226619,0.00464016795086443
0.15873084219351138,+,+,+,+,NA,NA,NA,NA,9,-170.0822346222891,360.73589781600674,10.408288046608902,0.00423605087025908
0.1790243500604692,+,+,+,+,NA,+,NA,NA,12,-167.70271951015212,364.0621554382147,13.73454566881685,0.000802922265838923
0.14494209763194707,+,+,+,NA,NA,NA,NA,NA,8,-173.8790092128462,365.7861874397769,15.458577670379043,0.000339081978895576
0.1560722380350739,+,+,+,+,NA,NA,+,NA,12,-168.85597558172998,366.3686675813704,16.041057811972564,0.000253408252133799
0.17758721821504644,+,+,+,+,NA,+,+,NA,15,-166.31683125623186,370.13366251246373,19.80605274306589,3.85711415050069e-05
0.1432601609430713,+,+,+,+,+,NA,NA,NA,18,-165.3639857493675,377.9410862528333,27.613476483435477,7.77860946539784e-07
0.12915091743489948,+,+,+,NA,+,NA,NA,NA,17,-169.78448477873624,383.439937299408,33.112327530010134,4.97555618314313e-08
0.16351048813801602,+,+,+,+,+,+,NA,NA,21,-162.87037814238158,383.67179076752177,33.34418099812393,4.43093412788909e-08
0.14019397430505243,+,+,+,+,+,NA,+,NA,21,-164.02494915146272,385.98093278568405,35.65332301628621,1.39659819196381e-08
0.15938818363067606,+,+,+,+,+,+,+,NA,24,-161.4123164427855,392.64281470375283,42.315204934354995,4.99415707339172e-10
0.12915932207966044,+,+,+,+,+,+,+,+,33,-152.29894335714033,419.38049540993285,69.05288564053501,7.80636048862345e-16
